date,product_id,category,price,promo,sales
2024-01-01,P001,food,1293.17,0,30
2024-01-01,P002,cosmetics,515.55,0,11
2024-01-01,P003,food,760.15,0,25
2024-01-01,P004,cosmetics,994.74,0,26
2024-01-01,P005,food,1106.33,0,29
2024-01-01,P006,food,1316.97,0,11
2024-01-01,P007,household,1039.71,0,27
2024-01-01,P008,household,1145.04,0,18
2024-01-01,P009,household,633.95,0,8
2024-01-01,P010,household,499.43,0,43
2024-01-01,P011,cosmetics,1460.72,0,24
2024-01-01,P012,household,538.38,0,20
2024-01-02,P001,food,1317.96,0,19
2024-01-02,P002,cosmetics,511.6,0,13
2024-01-02,P003,food,787.33,0,29
2024-01-02,P004,cosmetics,964.1,0,29
2024-01-02,P005,food,1073.15,0,28
2024-01-02,P006,food,1345.53,0,6
2024-01-02,P007,household,1041.06,0,19
2024-01-02,P008,household,1167.89,0,27
2024-01-02,P009,household,621.17,0,7
2024-01-02,P010,household,497.24,0,37
2024-01-02,P011,cosmetics,1463.92,0,13
2024-01-02,P012,household,538.39,0,33
2024-01-03,P001,food,1300.03,0,19
2024-01-03,P002,cosmetics,502.77,0,11
2024-01-03,P003,food,619.1,1,57
2024-01-03,P004,cosmetics,980.04,0,19
2024-01-03,P005,food,1071.91,0,17
2024-01-03,P006,food,1307.04,0,8
2024-01-03,P007,household,1041.76,0,18
2024-01-03,P008,household,1161.52,0,30
2024-01-03,P009,household,628.47,0,14
2024-01-03,P010,household,494.31,0,37
2024-01-03,P011,cosmetics,1484.39,0,19
2024-01-03,P012,household,537.5,0,19
2024-01-04,P001,food,1296.46,0,23
2024-01-04,P002,cosmetics,517.86,0,14
2024-01-04,P003,food,607.11,1,52
2024-01-04,P004,cosmetics,984.97,0,21
2024-01-04,P005,food,1098.73,0,26
2024-01-04,P006,food,1306.46,0,9
2024-01-04,P007,household,1022.27,0,20
2024-01-04,P008,household,1167.76,0,36
2024-01-04,P009,household,646.08,0,11
2024-01-04,P010,household,493.33,0,41
2024-01-04,P011,cosmetics,1488.43,0,17
2024-01-04,P012,household,543.48,0,34
2024-01-05,P001,food,1297.45,0,21
2024-01-05,P002,cosmetics,520.92,0,11
2024-01-05,P003,food,613.53,1,51
2024-01-05,P004,cosmetics,987.78,0,23
2024-01-05,P005,food,1099.78,0,30
2024-01-05,P006,food,1304.4,0,13
2024-01-05,P007,household,1028.64,0,27
2024-01-05,P008,household,1155.11,0,34
2024-01-05,P009,household,632.1,0,7
2024-01-05,P010,household,491.23,0,33
2024-01-05,P011,cosmetics,1490.6,0,12
2024-01-05,P012,household,539.41,0,23
2024-01-06,P001,food,1308.97,0,17
2024-01-06,P002,cosmetics,521.2,0,11
2024-01-06,P003,food,619.81,1,44
2024-01-06,P004,cosmetics,978.35,0,34
2024-01-06,P005,food,1088.23,0,28
2024-01-06,P006,food,1327.73,0,10
2024-01-06,P007,household,1026.17,0,27
2024-01-06,P008,household,1176.35,0,37
2024-01-06,P009,household,633.88,0,10
2024-01-06,P010,household,493.02,0,34
2024-01-06,P011,cosmetics,1444.83,0,15
2024-01-06,P012,household,535.85,0,23
2024-01-07,P001,food,1306.8,0,24
2024-01-07,P002,cosmetics,515.39,0,15
2024-01-07,P003,food,616.12,1,46
2024-01-07,P004,cosmetics,967.4,0,23
2024-01-07,P005,food,1094.7,0,23
2024-01-07,P006,food,1318.8,0,12
2024-01-07,P007,household,1048.31,0,29
2024-01-07,P008,household,1179.02,0,34
2024-01-07,P009,household,622.54,0,5
2024-01-07,P010,household,489.36,0,34
2024-01-07,P011,cosmetics,1476.06,0,14
2024-01-07,P012,household,539.5,0,22
2024-01-08,P001,food,1307.41,0,17
2024-01-08,P002,cosmetics,513.78,0,18
2024-01-08,P003,food,777.82,0,29
2024-01-08,P004,cosmetics,977.62,0,41
2024-01-08,P005,food,1098.46,0,22
2024-01-08,P006,food,1307.53,0,10
2024-01-08,P007,household,1053.99,0,13
2024-01-08,P008,household,1181.18,0,29
2024-01-08,P009,household,621.49,0,11
2024-01-08,P010,household,502.51,0,32
2024-01-08,P011,cosmetics,1472.93,0,17
2024-01-08,P012,household,532.33,0,35
2024-01-09,P001,food,1307.65,0,25
2024-01-09,P002,cosmetics,520.37,0,20
2024-01-09,P003,food,785.17,0,34
2024-01-09,P004,cosmetics,978.13,0,32
2024-01-09,P005,food,1081.46,0,26
2024-01-09,P006,food,1314.56,0,11
2024-01-09,P007,household,1014.35,0,18
2024-01-09,P008,household,1163.06,0,26
2024-01-09,P009,household,634.22,0,14
2024-01-09,P010,household,504.88,0,25
2024-01-09,P011,cosmetics,1468.21,0,16
2024-01-09,P012,household,541.79,0,22
2024-01-10,P001,food,1329.92,0,19
2024-01-10,P002,cosmetics,522.19,0,13
2024-01-10,P003,food,770.99,0,32
2024-01-10,P004,cosmetics,977.89,0,25
2024-01-10,P005,food,1082.63,0,28
2024-01-10,P006,food,1308.91,0,8
2024-01-10,P007,household,1053.06,0,17
